Data;Abertura;Maxima;Minima;Fechamento;Volume
17/07/2026;57,90;58,20;57,44;57,68;28084539
20/07/2026;57,63;57,95;57,13;57,26;18560167
21/07/2026;57,16;57,33;56,72;56,91;24602903
22/07/2026;57,10;57,49;56,75;57,35;29913794
23/07/2026;57,38;57,71;57,23;57,46;23312191
24/07/2026;57,58;57,84;57,52;57,83;29036552
27/07/2026;58,15;58,81;58,15;58,53;25985144
28/07/2026;58,50;59,50;58,49;59,21;24877326
29/07/2026;59,19;59,38;58,44;58,50;26125651
30/07/2026;58,63;59,05;58,29;58,84;22831862
31/07/2026;58,65;58,87;57,59;57,91;29590620
03/08/2026;58,00;58,14;57,83;57,92;26974665
04/08/2026;57,70;59,29;57,38;59,02;27674843
05/08/2026;58,87;59,26;58,61;58,96;22577457
06/08/2026;59,05;59,06;58,63;58,80;28133715
07/08/2026;58,94;59,16;58,61;58,94;19312890
10/08/2026;58,62;59,05;58,46;59,00;21738103
11/08/2026;59,24;59,82;58,93;59,06;22326833
12/08/2026;58,93;59,13;58,68;58,69;30342225
13/08/2026;58,51;59,38;58,49;59,33;20900385
14/08/2026;59,15;60,06;59,15;59,86;25441877
